case start_aero end_aero start_conv end_conv
20140311 1332 1401 1440 1852
20140317 1637 1706 1728 1906
20140321 1902 1931 1935 2028
20140322 1332 1401 1508 1654
20140323 1642 1711 1712 1930
20140326 1617 1646 1817 2235
20140401 1109 1138 1309 1905
20140412 1533 1602 1642 1807
20140418 1916 1945 2021 2136
20140420 1751 1820 1824 2015
20140421 1602 1631 1633 1802
20140423 1712 1741 1803 1910
20140516 1615 1644 1645 1815
20140519 1520 1549 1550 1835
20140520 1545 1614 1618 1742
20140530 1333 1402 1455 1809
20140531 1239 1308 1401 1503
